#  Mirror - TypeA 5264-2_qr8741 mirror mounted in bender, motor pos 70
#  Data analysis - 2022-02-18 - Executed with Python script version: D:\Data_analysis\2021\2021-12-15_TypeA_5264-2_QR8741_mountedinbender\standard_script_avg_analysis_grazing_typeA_qr8741_mounted_in_benderV2_01_07.py
#  Analysis Parameters: 
#  Scaling factor in x direction - length of mirror = 1.1515E-03 m/pixels
#  Scaling factor in y direction - width of mirror = 2.667E-04 m/pixels
#  Number of measurement files for averaging: 1
#  Averaging over n pixels for profile calculation: n = 5
# 
#  Height 2D map of mirror TypeA 5264-2_qr8741 mirror mounted in bender, motor pos 70 - derived from the average over all 1 measurements.
# Data output
#  x y height positions 
#  meters meters meters
# 
-4.1972727273e-01;-9.7345500000e-03;3.4521046679e-08
-4.1857575758e-01;-9.7345500000e-03;3.4834919364e-08
-4.1742424242e-01;-9.7345500000e-03;3.7160395754e-08
-4.1627272727e-01;-9.7345500000e-03;4.1981872796e-08
-4.1512121212e-01;-9.7345500000e-03;3.9785646906e-08
-4.1396969697e-01;-9.7345500000e-03;3.9895014277e-08
-4.1281818182e-01;-9.7345500000e-03;4.3554560085e-08
-4.1166666667e-01;-9.7345500000e-03;4.2143986731e-08
-4.1051515152e-01;-9.7345500000e-03;4.2092747535e-08
-4.0936363636e-01;-9.7345500000e-03;4.2519967148e-08
-4.0821212121e-01;-9.7345500000e-03;4.3108227267e-08
-4.0706060606e-01;-9.7345500000e-03;4.3552106101e-08
-4.0590909091e-01;-9.7345500000e-03;4.4918041394e-08
-4.0475757576e-01;-9.7345500000e-03;4.5031072984e-08
-4.0360606061e-01;-9.7345500000e-03;4.4485347780e-08
-4.0245454545e-01;-9.7345500000e-03;4.6146725671e-08
-4.0130303030e-01;-9.7345500000e-03;4.6656130013e-08
-4.0015151515e-01;-9.7345500000e-03;4.2842135919e-08
-3.9900000000e-01;-9.7345500000e-03;4.3554172688e-08
-3.9784848485e-01;-9.7345500000e-03;4.6657734518e-08
-3.9669696970e-01;-9.7345500000e-03;4.5355439233e-08
-3.9554545455e-01;-9.7345500000e-03;4.5236804188e-08
-3.9439393939e-01;-9.7345500000e-03;4.4566191714e-08
-3.9324242424e-01;-9.7345500000e-03;4.4097454858e-08
-3.9209090909e-01;-9.7345500000e-03;4.6438255487e-08
-3.9093939394e-01;-9.7345500000e-03;4.2304545027e-08
-3.8978787879e-01;-9.7345500000e-03;4.0028398539e-08
-3.8863636364e-01;-9.7345500000e-03;4.0883140334e-08
-3.8748484848e-01;-9.7345500000e-03;3.9926739749e-08
-3.8633333333e-01;-9.7345500000e-03;4.0163400366e-08
-3.8518181818e-01;-9.7345500000e-03;3.8190466572e-08
-3.8403030303e-01;-9.7345500000e-03;3.4885721785e-08
-3.8287878788e-01;-9.7345500000e-03;3.8091553651e-08
-3.8172727273e-01;-9.7345500000e-03;3.1000586010e-08
-3.8057575758e-01;-9.7345500000e-03;3.3521646941e-08
-3.7942424242e-01;-9.7345500000e-03;3.2458627890e-08
-3.7827272727e-01;-9.7345500000e-03;2.4487137728e-08
-3.7712121212e-01;-9.7345500000e-03;3.2505705727e-08
-3.7596969697e-01;-9.7345500000e-03;2.7805975263e-08
-3.7481818182e-01;-9.7345500000e-03;2.8848444207e-08
-3.7366666667e-01;-9.7345500000e-03;2.6579414151e-08
-3.7251515152e-01;-9.7345500000e-03;2.9188463095e-08
-3.7136363636e-01;-9.7345500000e-03;3.1227197346e-08
-3.7021212121e-01;-9.7345500000e-03;2.8599851812e-08
-3.6906060606e-01;-9.7345500000e-03;2.5453218818e-08
-3.6790909091e-01;-9.7345500000e-03;2.5262806650e-08
-3.6675757576e-01;-9.7345500000e-03;2.1954999652e-08
-3.6560606061e-01;-9.7345500000e-03;1.8908742740e-08
-3.6445454545e-01;-9.7345500000e-03;1.8041548596e-08
-3.6330303030e-01;-9.7345500000e-03;1.5761607062e-08
-3.6215151515e-01;-9.7345500000e-03;1.5548920829e-08
-3.6100000000e-01;-9.7345500000e-03;1.5333075220e-08
-3.5984848485e-01;-9.7345500000e-03;1.2550702683e-08
-3.5869696970e-01;-9.7345500000e-03;1.1419736590e-08
-3.5754545455e-01;-9.7345500000e-03;1.0806366535e-08
-3.5639393939e-01;-9.7345500000e-03;7.3789663003e-09
-3.5524242424e-01;-9.7345500000e-03;7.5980610795e-09
-3.5409090909e-01;-9.7345500000e-03;8.1810895948e-09
-3.5293939394e-01;-9.7345500000e-03;8.0886655559e-09
-3.5178787879e-01;-9.7345500000e-03;1.0078307429e-08
-3.5063636364e-01;-9.7345500000e-03;1.0603641727e-08
-3.4948484848e-01;-9.7345500000e-03;7.8690984610e-09
-3.4833333333e-01;-9.7345500000e-03;9.4649895492e-09
-3.4718181818e-01;-9.7345500000e-03;5.9503846601e-09
-3.4603030303e-01;-9.7345500000e-03;2.5504559941e-09
-3.4487878788e-01;-9.7345500000e-03;2.3455816248e-09
-3.4372727273e-01;-9.7345500000e-03;1.5470215002e-09
-3.4257575758e-01;-9.7345500000e-03;1.2524171333e-09
-3.4142424242e-01;-9.7345500000e-03;5.3462011777e-09
-3.4027272727e-01;-9.7345500000e-03;4.0878221038e-09
-3.3912121212e-01;-9.7345500000e-03;-1.4835813514e-09
-3.3796969697e-01;-9.7345500000e-03;1.7399485971e-09
-3.3681818182e-01;-9.7345500000e-03;-1.0770429580e-09
-3.3566666667e-01;-9.7345500000e-03;-6.8289036329e-10
-3.3451515152e-01;-9.7345500000e-03;3.2763838873e-09
-3.3336363636e-01;-9.7345500000e-03;1.2349813014e-09
