# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
-3.09055e-01 -9.74550e-03 -4.52995e-08
-3.08030e-01 -9.74550e-03 -4.35422e-08
-3.07005e-01 -9.74550e-03 -4.37125e-08
-3.05979e-01 -9.74550e-03 -4.37698e-08
-3.04954e-01 -9.74550e-03 -4.19937e-08
-3.03929e-01 -9.74550e-03 -4.21427e-08
-3.02904e-01 -9.74550e-03 -4.27480e-08
-3.01879e-01 -9.74550e-03 -4.12451e-08
-3.00854e-01 -9.74550e-03 -4.22058e-08
-2.99829e-01 -9.74550e-03 -4.05441e-08
-2.98804e-01 -9.74550e-03 -3.99392e-08
-2.97779e-01 -9.74550e-03 -3.92528e-08
-2.96754e-01 -9.74550e-03 -3.76649e-08
-2.95729e-01 -9.74550e-03 -3.62927e-08
-2.94704e-01 -9.74550e-03 -3.43724e-08
-2.93679e-01 -9.74550e-03 -3.52453e-08
-2.92654e-01 -9.74550e-03 -3.50384e-08
-2.91629e-01 -9.74550e-03 -3.45750e-08
-2.90604e-01 -9.74550e-03 -3.34187e-08
-2.89579e-01 -9.74550e-03 -3.18511e-08
-2.88554e-01 -9.74550e-03 -3.10517e-08
-2.87528e-01 -9.74550e-03 -3.14853e-08
-2.86503e-01 -9.74550e-03 -2.99342e-08
-2.85478e-01 -9.74550e-03 -2.77878e-08
-2.84453e-01 -9.74550e-03 -2.83391e-08
-2.83428e-01 -9.74550e-03 -2.96911e-08
-2.82403e-01 -9.74550e-03 -2.83952e-08
-2.81378e-01 -9.74550e-03 -2.62614e-08
-2.80353e-01 -9.74550e-03 -2.66111e-08
-2.79328e-01 -9.74550e-03 -2.60103e-08
-2.78303e-01 -9.74550e-03 -2.67477e-08
-2.77278e-01 -9.74550e-03 -2.74571e-08
-2.76253e-01 -9.74550e-03 -2.55749e-08
-2.75228e-01 -9.74550e-03 -2.51909e-08
-2.74203e-01 -9.74550e-03 -2.22412e-08
-2.73178e-01 -9.74550e-03 -2.33363e-08
-2.72153e-01 -9.74550e-03 -2.36854e-08
-2.71128e-01 -9.74550e-03 -2.18200e-08
-2.70103e-01 -9.74550e-03 -2.17730e-08
-2.69077e-01 -9.74550e-03 -2.20601e-08
-2.68052e-01 -9.74550e-03 -1.99489e-08
-2.67027e-01 -9.74550e-03 -1.79031e-08
-2.66002e-01 -9.74550e-03 -1.96175e-08
-2.64977e-01 -9.74550e-03 -2.17866e-08
-2.63952e-01 -9.74550e-03 -2.03568e-08
